Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 49.00      1.88     1.88  1111655     0.00     0.00  mlSortIn
 39.04      3.37     1.50 1413872427     0.00     0.00  mtGetReadyTime
 11.53      3.81     0.44                             mtSetReadyTime
  0.52      3.83     0.02        8     2.51     2.51  mlGetNumNodes
  0.26      3.84     0.01  2160231     0.00     0.00  mtNewThread
  0.00      3.84     0.00  3198322     0.00     0.00  mlDequeue
  0.00      3.84     0.00  3198322     0.00     0.00  mtDelThread
  0.00      3.84     0.00  1101184     0.00     0.00  mlEnqueue
  0.00      3.84     0.00        4     0.00     0.00  beginTest
  0.00      3.84     0.00        4     0.00     0.00  endTest
  0.00      3.84     0.00        1     0.00     0.00  mlDelList
  0.00      3.84     0.00        1     0.00     0.00  mlNewList
  0.00      3.84     0.00        1     0.00     0.00  shuffleIntArray
